< 미적·기하 and 과학탐구 응시자 기준 분석결과 >,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) 적정점수=합격률80%인 점수, 예상점수=합격률50%인 점수, 소신점수=합격률20%인 점수",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) 나의 점수가 적정점수 이상인 경우(=합격률80%이상)은 진한녹색. 예상점수 이상이나 적정점수 미만인 경우(=합격률50~79%) 연한녹색. 예상점수 미만인 경우 노랑색(=합격률20~49%; 소신점수 이상) 또는 붉은색(=합격률20%미만; 소신점수에도 미달), 필수과목 결격사유로 응시제한된 경우 흰색",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모집단위,,,,나의 환산점수 및 환산점수기준 계열內전국등수(누백),,,,,2026학년도(20251113수능) 기준 지원선,,,,,,이과응시자기준 과거입시결과(합격권),,,,,,과거입시결과(상위70%),,,,,,모집군 및 정원,,,,,,,,수능반영방법,,,,,,,,,국수탐구성비 및 영어1등급대비감점,,,,,,,,,,,,,,
계열,대학교,전공,합격가능성,수능점수,내신점수,수능+내신,누백,전국등수 / 이과,적정점수,예상점수,소신점수,적정누백,예상누백,소신누백,2411 ,2311 ,2211 ,2111 ,2011 ,1911 ,2411 ,2311 ,2211 ,2111 ,2011 ,1911 ,대학구분,모집군,정원,시도,시군,학과특성,대학교(약칭),전공(약칭),선발유형,점수환산,수탐선택,수능요소,수능조합,필수,선택,가중택,탐구과목수,국어배점,수학배점,탐구배점,국어구성비,수학구성비,탐구구성비,영어1환점,영어2환점,영어3환점,영어4환점,영어5환점,영어6환점,영어7환점,영어8환점,영어9환점
이과,경북대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,742.73 ,739.76 ,736.94 ,0.75 ,1.05 ,1.45 ,0.86 ,0.59 ,0.44 ,1.05 ,0.58 ,0.69 ,0.76 ,0.55 ,0.33 ,0.74 ,0.46 ,0.49 ,★의대,가,10 ,대구,대구,공통,경북대,의예,통합선발,경북간호,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,250 ,375 ,250 ,29%,43%,29%,0.00 ,-3.75 ,-10.00 ,-16.25 ,-22.50 ,-28.75 ,-35.00 ,-41.25 ,-47.50 
이과,경북대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,739.39 ,735.45 ,731.79 ,1.11 ,1.67 ,2.32 ,0.99 ,-,-,-,-,-,0.89 ,-,-,-,-,-,★의대,가,13 ,대구,대구,공통,경북대,의예(지),통합선발,경북간호,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,250 ,375 ,250 ,29%,43%,29%,0.00 ,-3.75 ,-10.00 ,-16.25 ,-22.50 ,-28.75 ,-35.00 ,-41.25 ,-47.50 
이과,경상국립대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,974.21 ,970.77 ,963.39 ,0.79 ,1.07 ,1.74 ,1.11 ,0.76 ,0.25 ,0.61 ,0.80 ,1.00 ,0.90 ,0.67 ,0.16 ,0.59 ,0.75 ,0.90 ,★의대,가,7 ,경남,진주,공통,경상대,의예,이과계열,경상의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,250 ,300 ,250 ,31%,38%,31%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
이과,경상국립대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,970.43 ,963.56 ,953.32 ,1.16 ,1.70 ,2.91 ,2.73 ,1.98 ,1.25 ,1.20 ,0.94 ,1.48 ,2.02 ,1.72 ,0.97 ,1.04 ,0.80 ,1.14 ,★의대,가,19 ,경남,진주,공통,경상대,의예(지),이과계열,경상의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,250 ,300 ,250 ,31%,38%,31%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
이과,경희대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,560.93 ,558.16 ,554.64 ,0.39 ,0.67 ,1.06 ,0.35 ,0.45 ,0.25 ,0.55 ,0.33 ,0.24 ,0.29 ,0.30 ,0.20 ,0.34 ,0.15 ,0.20 ,★의대,나,55 ,서울,서울,공통,경희대,의예,통합선발,경희자연,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,200 ,320 ,280 ,25%,40%,35%,0.00 ,0.00 ,-2.00 ,-4.00 ,-8.00 ,-12.00 ,-18.00 ,-24.00 ,-30.00 
이과,계명대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,398.58 ,397.44 ,396.39 ,0.96 ,1.27 ,1.61 ,1.10 ,0.80 ,0.55 ,1.02 ,0.94 ,1.11 ,0.98 ,0.80 ,0.47 ,1.02 ,0.81 ,1.00 ,★의대,다,15 ,대구,대구,공통,계명대,의예,이과계열,계명의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,120 ,100 ,31%,38%,31%,0.00 ,-1.60 ,-4.80 ,-8.00 ,-11.20 ,-14.40 ,-17.60 ,-20.80 ,-32.00 
이과,계명대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,397.30 ,395.51 ,393.09 ,1.30 ,1.97 ,2.73 ,1.91 ,-,-,-,-,-,-,-,-,-,-,-,★의대,다,22 ,대구,대구,공통,계명대,의예(지),이과계열,계명의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,100 ,120 ,100 ,31%,38%,31%,0.00 ,-1.60 ,-4.80 ,-8.00 ,-11.20 ,-14.40 ,-17.60 ,-20.80 ,-32.00 
이과,고려대학교,의과대학,오류(영어국사),0.00 ,0.00 ,0.00 ,,,698.71 ,695.97 ,694.23 ,0.24 ,0.34 ,0.47 ,0.28 ,0.14 ,0.14 ,0.23 ,0.12 ,0.19 ,0.23 ,0.14 ,0.12 ,0.16 ,0.12 ,0.18 ,★의대,가,20 ,서울,서울,공통,고려대,의예,통합선발,고려자연,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,313 ,375 ,313 ,31%,38%,31%,0.00 ,-3.00 ,-6.00 ,-9.00 ,-12.00 ,-15.00 ,-18.00 ,-21.00 ,-24.00 
이과,고려대학교,의과대학[교과],오류(영어국사),0.00 ,0.00 ,0.00 ,,,753.77 ,751.34 ,749.10 ,0.29 ,0.47 ,0.69 ,0.28 ,0.22 ,-,-,-,-,0.21 ,0.16 ,-,-,-,-,★의대,가,19 ,서울,서울,공통,고려대,의예(교),통합선발,고려자연교과,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,250 ,300 ,250 ,31%,38%,31%,0.00 ,-2.40 ,-4.80 ,-7.20 ,-9.60 ,-12.00 ,-14.40 ,-16.80 ,-19.20 
이과,고신대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,676.65 ,674.50 ,672.00 ,1.24 ,1.64 ,2.11 ,1.57 ,0.98 ,0.66 ,1.30 ,1.02 ,1.35 ,1.39 ,0.92 ,0.53 ,1.24 ,1.00 ,1.35 ,★의대,다,10 ,부산,부산,공통,고신대,의예,이과계열,고신의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,200 ,29%,43%,29%,0.00 ,-3.00 ,-9.00 ,-18.00 ,-30.00 ,-39.00 ,-45.00 ,-48.00 ,-52.50 
이과,고신대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,674.00 ,670.86 ,663.50 ,1.72 ,2.45 ,4.08 ,2.10 ,1.84 ,1.39 ,1.51 ,-,-,2.04 ,1.75 ,0.76 ,1.39 ,-,-,★의대,다,8 ,부산,부산,공통,고신대,의예(지),이과계열,고신의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,200 ,29%,43%,29%,0.00 ,-3.00 ,-9.00 ,-18.00 ,-30.00 ,-39.00 ,-45.00 ,-48.00 ,-52.50 
이과,단국대학교(천안),의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,977.43 ,973.69 ,970.39 ,0.93 ,1.23 ,1.56 ,1.19 ,0.80 ,0.47 ,0.90 ,0.60 ,0.79 ,1.03 ,0.74 ,0.34 ,0.86 ,-,0.68 ,★의대,다,7 ,충남,천안,공통,단국천,의예,이과계열,단국천의학,미적기하+과탐 필수,표+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,250 ,29%,41%,29%,0.00 ,-15.00 ,-45.00 ,-90.00 ,-105.00 ,-120.00 ,-127.50 ,-142.50 ,-150.00 
이과,단국대학교(천안),의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,973.33 ,967.05 ,957.09 ,1.27 ,1.92 ,2.76 ,-,-,-,-,-,-,-,-,-,-,-,-,★의대,다,7 ,충남,천안,공통,단국천,의예(지),이과계열,단국천의학,미적기하+과탐 필수,표+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,250 ,29%,41%,29%,0.00 ,-15.00 ,-45.00 ,-90.00 ,-105.00 ,-120.00 ,-127.50 ,-142.50 ,-150.00 
이과,대구가톨릭대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,527.46 ,524.58 ,521.92 ,0.82 ,1.23 ,1.75 ,1.25 ,0.85 ,0.25 ,0.76 ,0.64 ,0.77 ,1.23 ,0.85 ,0.20 ,0.53 ,0.44 ,0.54 ,★의대,다,10 ,대구,대구,공통,대가대,의예,이과계열,대가의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,240 ,240 ,120 ,40%,40%,20%,0.00 ,-8.00 ,-16.00 ,-24.00 ,-32.00 ,-40.00 ,-48.00 ,-56.00 ,-64.00 
이과,대구가톨릭대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,524.35 ,521.27 ,517.39 ,1.27 ,1.91 ,2.66 ,1.44 ,-,-,-,-,-,-,-,-,-,-,-,★의대,수시이월,0 ,대구,대구,공통,대가대,의예(지),이과계열,대가의학,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,240 ,240 ,120 ,40%,40%,20%,0.00 ,-8.00 ,-16.00 ,-24.00 ,-32.00 ,-40.00 ,-48.00 ,-56.00 ,-64.00 
이과,동국대학교(WISE),의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,996.86 ,994.15 ,991.88 ,1.02 ,1.35 ,1.71 ,1.47 ,1.03 ,0.48 ,0.98 ,0.78 ,0.92 ,1.35 ,0.92 ,0.42 ,-,-,0.90 ,★의대,다,6 ,경북,경주,공통,동국경,의예,이과계열,동국경의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,200 ,31%,44%,25%,0.00 ,-10.00 ,-20.00 ,-30.00 ,-40.00 ,-50.00 ,-60.00 ,-70.00 ,-80.00 
이과,동국대학교(WISE),의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,994.00 ,989.00 ,982.50 ,1.38 ,2.07 ,2.88 ,-,-,0.76 ,-,-,-,-,-,-,-,-,-,★의대,다,1 ,경북,경주,공통,동국경,의예(지),이과계열,동국경의학,미적기하+과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,250 ,350 ,200 ,31%,44%,25%,0.00 ,-10.00 ,-20.00 ,-30.00 ,-40.00 ,-50.00 ,-60.00 ,-70.00 ,-80.00 
이과,동아대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,614.05 ,612.35 ,609.60 ,1.06 ,1.40 ,1.98 ,1.24 ,1.17 ,0.69 ,0.76 ,0.69 ,0.88 ,1.05 ,0.76 ,0.61 ,0.66 ,0.58 ,0.75 ,★의대,가,10 ,부산,부산,공통,동아대,의예,통합선발,동아의학,자유선택,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,200 ,200 ,33%,33%,33%,0.00 ,-2.00 ,-5.00 ,-8.00 ,-13.00 ,-18.00 ,-28.00 ,-38.00 ,-48.00 
이과,동아대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,611.82 ,608.72 ,605.67 ,1.42 ,2.14 ,2.86 ,2.33 ,1.82 ,0.80 ,1.02 ,0.89 ,1.35 ,2.08 ,1.51 ,0.69 ,1.02 ,0.80 ,1.14 ,★의대,가,10 ,부산,부산,공통,동아대,의예(지),통합선발,동아의학,자유선택,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,200 ,200 ,33%,33%,33%,0.00 ,-2.00 ,-5.00 ,-8.00 ,-13.00 ,-18.00 ,-28.00 ,-38.00 ,-48.00 
이과,부산대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,617.45 ,615.49 ,611.66 ,0.63 ,0.88 ,1.52 ,1.80 ,0.62 ,0.30 ,0.59 ,0.64 ,0.64 ,0.75 ,0.53 ,0.25 ,0.50 ,0.55 ,0.56 ,★의대,나,20 ,부산,부산,공통,부산대,의예,통합선발,부산의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,160 ,240 ,240 ,25%,38%,38%,0.00 ,-1.60 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 
이과,부산대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,615.27 ,611.97 ,609.73 ,0.92 ,1.43 ,1.98 ,1.47 ,0.86 ,0.39 ,-,-,-,1.10 ,0.69 ,0.30 ,-,-,-,★의대,나,20 ,부산,부산,공통,부산대,의예(지),통합선발,부산의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,160 ,240 ,240 ,25%,38%,38%,0.00 ,-1.60 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 
이과,서울대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,422.65 ,420.66 ,416.86 ,0.07 ,0.11 ,0.18 ,0.05 ,0.06 ,0.10 ,0.08 ,0.07 ,0.10 ,0.04 ,0.04 ,0.07 ,0.05 ,0.05 ,0.06 ,★의대,나,29 ,서울,서울,공통,서울대,의예,이과계열,서울자연,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,240 ,160 ,33%,40%,27%,0.00 ,-0.50 ,-2.00 ,-4.00 ,-6.00 ,-8.00 ,-10.00 ,-12.00 ,-14.00 
이과,서울대학교,의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,421.06 ,418.07 ,415.38 ,0.10 ,0.16 ,0.26 ,0.08 ,0.07 ,0.14 ,-,-,-,0.06 ,0.06 ,0.12 ,-,-,-,★의대,나,10 ,서울,서울,공통,서울대,의예(지),이과계열,서울자연,미적기하+과탐 필수,표+표,국수영탐(2),국수영탐(2),,,2 ,200 ,240 ,160 ,33%,40%,27%,0.00 ,-0.50 ,-2.00 ,-4.00 ,-6.00 ,-8.00 ,-10.00 ,-12.00 ,-14.00 
이과,성균관대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,687.23 ,685.26 ,683.55 ,0.21 ,0.28 ,0.38 ,0.18 ,0.12 ,0.13 ,0.18 ,0.14 ,0.16 ,0.17 ,0.10 ,0.10 ,0.09 ,0.11 ,0.13 ,★의대,가,15 ,경기,수원,공통,성균관,의예,통합선발,성균의학,자유선택,표+변,국수영탐(2)中가중택4,,,국수영탐(2)中가중택4,2 ,선택형,선택형,선택형,우수과목에 가중치,,,0.00 ,-0.50 ,-1.50 ,-13.00 ,-20.50 ,-25.00 ,-28.00 ,-31.00 ,-34.00 
이과,순천향대학교,의예과,오류(영어국사),800.00 ,0.00 ,800.00 ,94.00 ,74253 ／ 78993,1005.54 ,1005.11 ,1004.61 ,0.53 ,0.75 ,1.01 ,0.73 ,0.44 ,0.34 ,0.57 ,0.44 ,0.62 ,0.66 ,0.44 ,0.25 ,0.55 ,0.41 ,0.49 ,★의대,다,30 ,충남,천안,공통,순천향,의예,통합선발,순천향의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,40 ,60 ,40 ,29%,43%,29%,0.00 ,-2.40 ,-6.60 ,-13.80 ,-24.00 ,-36.00 ,-46.20 ,-53.40 ,-57.60 
이과,순천향대학교,의예과[지역],오류(영어국사),800.00 ,0.00 ,800.00 ,94.00 ,74253 ／ 78993,1005.00 ,1004.17 ,1003.27 ,0.84 ,1.35 ,1.99 ,1.05 ,-,-,-,-,-,0.92 ,-,-,-,-,-,★의대,수시이월,0 ,충남,천안,공통,순천향,의예(지),통합선발,순천향의학,자유선택,백+백,국수영탐(2),국수영탐(2),,,2 ,40 ,60 ,40 ,29%,43%,29%,0.00 ,-2.40 ,-6.60 ,-13.80 ,-24.00 ,-36.00 ,-46.20 ,-53.40 ,-57.60 
이과,아주대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,949.15 ,946.37 ,941.52 ,0.39 ,0.55 ,0.86 ,0.54 ,0.30 ,0.23 ,0.32 ,0.40 ,0.25 ,0.49 ,0.30 ,0.23 ,0.30 ,0.30 ,0.24 ,★의대,나,10 ,경기,수원,공통,아주대,의예,통합선발,아주의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,190 ,380 ,285 ,22%,44%,33%,0.00 ,-1.90 ,-3.80 ,-15.20 ,-38.00 ,-57.00 ,-76.00 ,-85.50 ,-95.00 
이과,연세대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,709.46 ,707.49 ,704.70 ,0.16 ,0.22 ,0.34 ,0.15 ,0.13 ,0.08 ,0.13 ,0.09 ,0.08 ,0.11 ,0.09 ,0.06 ,0.12 ,0.05 ,0.06 ,★의대,가,47 ,서울,서울,공통,연세대,의예,통합선발,연세의학,자유선택,표+변,국수영탐(2),국수영탐(2),,,2 ,200 ,300 ,300 ,25%,38%,38%,0.00 ,-5.00 ,-12.50 ,-25.00 ,-40.00 ,-60.00 ,-75.00 ,-87.50 ,-95.00 
이과,연세대학교(미래),의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,724.43 ,722.01 ,719.87 ,1.05 ,1.39 ,1.76 ,1.61 ,1.18 ,0.47 ,0.78 ,0.78 ,0.90 ,0.84 ,0.85 ,0.39 ,0.73 ,0.70 ,0.79 ,★의대,나,21 ,강원,원주,공통,연세원,의예,이과계열,연세원의학,미적기하+과탐 필수,표+변,국수영탐(2),국수영탐(2),,,2 ,222 ,333 ,333 ,25%,38%,38%,0.00 ,-5.56 ,-13.89 ,-27.78 ,-44.44 ,-66.67 ,-83.33 ,-97.22 ,-105.56 
이과,연세대학교(미래),의예과[지역],오류(영어국사),0.00 ,0.00 ,0.00 ,,,721.62 ,717.61 ,711.97 ,1.41 ,2.13 ,2.97 ,5.98 ,-,-,-,-,-,2.41 ,-,-,-,-,-,★의대,수시이월,0 ,강원,원주,공통,연세원,의예(지),이과계열,연세원의학,미적기하+과탐 필수,표+변,국수영탐(2),국수영탐(2),,,2 ,222 ,333 ,333 ,25%,38%,38%,0.00 ,-5.56 ,-13.89 ,-27.78 ,-44.44 ,-66.67 ,-83.33 ,-97.22 ,-105.56 
이과,영남대학교,의예과,오류(영어국사),0.00 ,0.00 ,0.00 ,,,794.07 ,792.00 ,789.33 ,1.06 ,1.40 ,1.78 ,1.40 ,1.05 ,0.65 ,1.02 ,0.91 ,1.01 ,1.05 ,0.72 ,0.59 ,0.92 ,0.84 ,0.91 ,★의대,나,12 ,대구,대구,공통,영남대,의예,이과계열,영남의학,과탐 필수,백+백,국수영탐(2),국수영탐(2),,,2 ,200 ,280 ,240 ,28%,39%,33%,0.00 ,-4.00 ,-8.00 ,-12.00 ,-16.00 ,-20.00 ,-24.00 ,-28.00 ,-32.00 
